,coef,std_err,t_stat,p_value,[0.025,0.975]
0,107.97,31.51,3.43,0.0,46.2104,169.7296
1,-2.21,1.07,2.07,0.02,-4.3072,-0.11280000000000001
,coef,std_err,t_stat,p_value,[0.025,0.975]
0,371.58,23.06,16.11,0.0,326.38239999999996,416.7776
1,-0.07,0.41,0.16,0.44,-0.8735999999999999,0.7336
2,-343.65,26.03,13.2,0.0,-394.6688,-292.6312
